# Found a bug? Report it here: https://github.com/gnmyt/myspeed/issues

## 4/18/2025, 10:55:06 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 10:55:21 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 10:55:29 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 10:55:38 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 10:55:45 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 10:55:52 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 10:56:00 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 10:56:10 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 10:56:23 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 10:56:42 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 10:57:14 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 10:58:12 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 10:59:18 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 11:00:25 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 11:01:31 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 11:02:38 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 11:03:44 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 11:04:51 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 11:05:57 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 11:07:04 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 11:08:10 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 11:09:17 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 11:10:23 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 11:11:30 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 11:12:36 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 11:13:43 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 11:14:49 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 11:15:56 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 11:17:02 PM
Error: getaddrinfo EAI_AGAIN install.speedtest.net

## 4/18/2025, 11:18:09 PM
